#  i 	 comp[i] 	 x[comp[i]] 
   0 	  270 	        -0.00000002 
   1 	  381 	         0.00000001 
   2 	  184 	        -0.00000001 
   3 	  306 	        -0.00000002 
   4 	  402 	         0.00000001 
   5 	  247 	         0.00000001 
   6 	  298 	        -0.00000002 
   7 	   97 	         0.00000001 
   8 	  426 	        -0.00000004 
   9 	   38 	         0.00000001 
